ISSN,Título,Estrato
2731-4553,BMC PRIMARY CARE,B1
1471-244X,BMC PSYCHIATRY (ONLINE),A1
1471-2458,BMC PUBLIC HEALTH (ONLINE),A1
1756-0500,BMC RESEARCH NOTES,A2
1472-6874,BMC WOMEN'S HEALTH (ONLINE),A1
1757-790X,BMJ CASE REPORTS,A4
2044-6055,BMJ OPEN,A1
2398-8703,BMJ OPEN SCIENCE,A1
2045-435X,BMJ SUPPORTIVE & PALLIATIVE CARE (IMPRESSO),A1
1756-1833,BMJ-BRITISH MEDICAL JOURNAL,A1
2675-1488,BOLETIM DE CONJUNTURA - BOCA,C
0717-7917,BOLETÍN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMÁTICAS,B2
8756-3282,"BONE (NEW YORK, N.Y.)",A1
2352-1872,BONE REPORTS,A3
2095-4700,BONE RESEARCH,A1
2666-3546,"BRAIN, BEHAVIOR, & IMMUNITY - HEALTH",A1
0889-1591,"BRAIN, BEHAVIOR, AND IMMUNITY",A1
1090-2139,BRAIN BEHAVIOR AND IMMUNITY (ONLINE),A1
1931-7565,BRAIN IMAGING AND BEHAVIOR,A2
0006-8993,BRAIN RESEARCH,A3
0361-9230,BRAIN RESEARCH BULLETIN,A3
1678-4324,BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (ONLINE),A3
0103-6440,BRAZILIAN DENTAL JOURNAL,A3
1806-4760,BRAZILIAN DENTAL JOURNAL,A3
2178-6011,BRAZILIAN DENTAL SCIENCE,A3
1087-0237,BRAZILIAN INTERNATIONAL JOURNAL OF ADAPTED PHYSICAL EDUCATION RESEARCH,B4
0104-0014,BRAZILIAN JOURNAL OF ANESTHESIOLOGY,A3
1519-6984,BRAZILIAN JOURNAL OF BIOLOGY (IMPRESSO),A4
1678-4375,BRAZILIAN JOURNAL OF BIOLOGY (ONLINE),A4
2764-5290,BRAZILIAN JOURNAL OF BIOMETRICS,B3
